% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 29 2019, 15:43
% Dimension:          3
% Nodes:              15076
% Expressions:        1
% Description:        温度
% Length unit:        m
% X                       Y                        Z                        T2 (K)
-0.008798231513348935     1.077472606098015E-18    -0.025246921926736998    368.35437408904005
-0.00949441574643775      1.162730585364922E-18    -0.023                   381.2977890374937
-0.007021136042923225     -0.0026270767542168195   -0.025246921926737005    368.49366993109555
-0.007965649652382265     0.002132411960683222     -0.023                   381.4654741780296
-0.007095236676482184     0.0026168406964167303    -0.025246921926737005    368.4875223226667
-0.006781428985575428     0.005644777943918284     -0.025246921926737       368.3513210203655
0.0056034184322821        -0.008729881503639457    -0.0238987687706948      375.973903828872
0.006090384452787656      -0.007014905937833589    -0.025246921926737       368.30007429656456
0.007526077028725808      -0.01150385596147224     -0.02524692192673701     367.78865770415
0.0035492820913205804     -0.01044514917661776     -0.025246921926736998    368.1076597625788
0.00259077642542419       -0.007396626473295241    -0.025246921926736998    368.4575534083305
0.0018187879057436425     -0.008360378858233772    -0.023                   381.42307555215666
0.004544915412000797      -0.014270059466694013    -0.023                   380.55871782007085
0.002416618542169806      -0.0131344527590548      -0.023                   380.7847040373808
0.0071631606257393276     -0.008868628179342499    -0.023                   381.0469108706408
0.010332358401339213      -0.0069894116132576565   -0.025246921926737005    367.9423906866434
0.004778041966390489      -0.008519414092213013    -0.022999999999999996    381.26201284909536
0.004706811509134621      -0.011551460762929318    -0.023                   380.9039108777567
0.0024305854391034145     -0.010608997860684963    -0.023                   381.11472840263934
0.006674032570844164      -0.012888138922380171    -0.023000000000000003    380.62427096898756
0.012063841414100017      -0.009981767492507319    -0.023                   380.46048781031277
0.013785407025566864      -0.009718641103023016    -0.025246921926737       367.36279517540237
0.011175292966869031      -0.01156148675977132     -0.025246921926737       367.483980905726
0.009348531625862983      -0.009258148545708115    -0.022999999999999996    380.8117499031843
0.0068554314970260275     -0.010619084488230282    -0.023000000000000003    380.8816946432769
0.008420722312451842      -0.011858430105294235    -0.023                   380.61997208541646
0.010652663762505492      -0.011988781183568692    -0.023000000000000003    380.40475375377395
0.008876595400831438      -0.013685632348875909    -0.023000000000000007    380.364043319623
0.00653944661119428       -0.015163645756000557    -0.022999999999999996    380.33398345817807
-0.010784003609742686     -0.020654182776015537    -0.016823538528132453    379.3916598367826
-0.012117695562577243     -0.019901041536881835    -0.013691044083491956    379.4167961846025
-0.014080065435098916     -0.02185753319437793     -0.016378893198023575    363.7741676357618
-0.009527004655166173     -0.024191655220353197    -0.0170908173124816      363.7233417688318
-0.008184275735985343     -0.021815307256084236    -0.017008232999971246    379.39318722643793
-0.00544077469410778      -0.02265585952304517     -0.01958015715875519     379.4435026116158
