% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 14 2019, 21:07
% Dimension:          3
% Nodes:              15076
% Expressions:        1
% Description:        温度
% Length unit:        m
% X                       Y                        Z                        T2 (K)
-0.01487139413139613      -0.0038530471204294664   -0.025246921926736998    367.5873596177616
-0.009564164407417293     -0.010237202477880954    -0.022999999999999996    380.70176623629663
-0.00744119405747667      -0.011460300331438411    -0.023000000000000003    380.7498139856479
-0.0036272633282104227    -0.01557156298305444     -0.025246921926737       367.5030655307321
-0.004139512091587862     -0.016239587312197424    -0.023000000000000007    380.30166817370593
-0.016473733712247658     -0.016477442081899538    -0.023000000000000003    379.4239781446883
-0.018384783384872448     -0.018384769236825305    -0.025246921926736998    349.0218307416106
-0.007807688092484421     -0.019192657027522993    -0.023000000000000007    379.69421500577573
-0.013695174670127614     -0.01885025505185524     -0.022999999999999996    379.4123605320946
-0.01058792852380459      -0.020755374110201022    -0.023                   379.4201614740759
-0.01046683784092211      -0.020006353459541146    -0.025246921926736998    363.1336196581293
-0.01444482687218486      -0.021618187507496302    -0.025246921926737005    348.77208084551285
-0.004979008001081258     -0.020233828251173074    -0.023000000000000007    379.67878014309684
-0.0065534740223345996    -0.021441303335512005    -0.025246921926736998    363.61596975153134
-0.003140572814443623     -0.019333760599794827    -0.025246921926737       366.64884477646683
-0.002752373050412673     -0.018519189307949102    -0.023000000000000003    379.9940628565351
-0.022722271153327016     -0.012637182978602576    -0.020843745039742737    362.12854319372303
-0.020043395035310507     -0.016560866989940172    -0.020877216229961044    362.00173846984757
-3.1305196968776506E-18   -0.017041755489867173    -0.025246921926736995    367.3241191920151
-0.019856438671808276     -0.012190645728291715    -0.019781011196984007    379.4470169216101
-0.017698471953383237     -0.015154342299001533    -0.01978241919061094     379.44712478966443
-0.015130950926468722     -0.017718474089514467    -0.019870373225317713    379.44957711450303
-0.021561622228406276     -0.008830993538639711    -0.019760607078199606    379.4459755135207
-0.020728449902726938     -0.010640552834798556    -0.016605989387557505    379.3863764742656
-0.023471415678862167     -0.011184482376492142    -0.017123913896777754    363.7184754372105
-0.022299432362891426     -0.0067546514560583104   -0.016013888397883275    379.38484668162226
-0.024802742973332827     -0.007798970508906216    -0.02052771229375144     362.4611604704659
-0.02267887945767627      -0.0053440084715679105   -0.020098036984257658    379.4574871279516
-0.014278755085902735     0.0040729695517041165    -0.023                   380.5833185323129
-0.015012246894933835     0.003554987636595668     -0.025246921926737       367.5804029370511
-0.01319331368513197      0.0020856781646526185    -0.023                   380.79208933132116
-0.01626597516950885      0.004216861128117256     -0.023                   380.2947954633642
-0.015496798294959136     0.0059999830894673705    -0.023                   380.3230451899071
-0.013506178411264938     0.005780916157966229     -0.023                   380.6056738514114
-0.018509973110578667     0.002742880441434328     -0.023000000000000003    379.9956126988223
-0.019188258669789512     0.0031134893560645525    -0.025246921926736998    366.7122308383811
-0.01785247975955109      0.005455773513413114     -0.023                   380.0034635466864
-0.023167011001112448     -0.0024858803821453303   -0.020529812939088954    379.46948561295096
-0.025781516103236757     -0.0033635438778977502   -0.021418006022446055    361.35680206490457
-0.02088990193819415      0.002427082181606258     -0.023000000000000003    379.65425971742116
-0.0233                   2.8534270420133333E-18   -0.023                   379.42210281547494
-0.026000000000000002     3.1840816777831186E-18   -0.025246921926737       348.86512886870076
-0.022595344728978468     0.002926430453037339     -0.025246921926736998    362.5656796146491
-0.012868808097156634     0.007373899167857372     -0.025246921926736998    367.6577214412554
-0.013883876761538448     0.007849801178733648     -0.023                   380.4230744814749
-0.003997965083901856     -0.014324545645198986    -0.022999999999999996    380.5800384171043
-0.011104150474679969     0.0072022320024280355    -0.022999999999999996    380.8087647466728
-0.01173177627360232      0.004186900493437925     -0.022999999999999996    380.91454798401867
-0.01052896538252677      -0.007455575847593026    -0.022999999999999996    380.8543809552644
-0.011588157729185145     -0.00447682038108555     -0.023                   380.9191361300286
-0.004445864353136511     -0.011811122794894892    -0.023                   380.89262332335056
-0.003623063301198958     -0.011551266048444375    -0.025246921926737       367.99232187423155
-0.002115200461312606     -0.013157264096629357    -0.023                   380.79645982513523
-0.008435646149356851     -0.009857681430258043    -0.025246921926737       367.89067796435853
-0.009549514127268427     -0.006862242788037191    -0.025246921926737       368.032778101298
-0.012924935467484085     1.5828480849440485E-18   -0.025246921926737005    367.8965284107819
-0.012155375168811895     1.4886041292920707E-18   -0.023000000000000003    380.95508800877
-0.010660091954637296     -0.0022384785138023977   -0.023                   381.12318474316913
-0.010683041076858125     -0.0037647079771495587   -0.025246921926737       368.0816312132901
-0.010394767971837157     0.003824593833989857     -0.025246921926737005    368.110295850123
-0.009439427814545789     0.0071420385826001884    -0.025246921926737       368.0238074070813
-0.009969602257962921     0.009755708948027547     -0.025246921926737       367.7737196289751
-0.007416372433061811     -0.008810725729926354    -0.023000000000000003    381.040555937202
-0.004992538386037912     -0.009566092613114452    -0.022999999999999996    381.1368131141958
-0.002367754954786945     -0.010512605796310647    -0.023000000000000003    381.13871375326966
-2.374272127416344E-18    -0.012924935467485564    -0.025246921926737       367.8962682680822
-2.232915622809818E-18    -0.012155426497198812    -0.022999999999999996    380.9551532054735
-3.186202439033024E-18    -0.017344878219861058    -0.023000000000000003    380.2110956998288
-0.002046093973617958     -0.015613796029428691    -0.023                   380.4530591849827
-2.7104942850661927E-18   -0.01475524364496138     -0.022999999999999996    380.5966663835606
0.0023351735915442583     -0.015771758529713055    -0.023000000000000003    380.4240896574027
-0.012335654770084525     -0.019766679574306133    -0.01990010484211831     379.4506351070399
-0.016489467988729904     -0.020102175142224087    -0.02077255474272244     362.16295091266244
-0.0072167074182006895    -0.022154206817140944    -0.022999999999999996    379.4157887275159
-0.01202039567913834      -0.02305450254759257     -0.02095809715365004     362.0178439002294
-0.009239005654057652     -0.021389969016440653    -0.019892168483002435    379.44986390740587
-0.009949767985556144     -0.02402082507130299     -0.025246921926736998    348.7424118386194
0.0023441551358090638     -0.01855142813706959     -0.023000000000000007    379.9979610528021
-3.6807088346092355E-18   -0.020036845655808065    -0.023                   379.7910729603247
-0.002456417801834713     -0.02088299322620493     -0.023                   379.6547698473249
